iter	Passed	Remaining
155	1482	9920
156	1490	9901
157	1497	9876
158	1504	9853
159	1510	9820
160	1519	9804
161	1525	9776
162	1534	9760
163	1546	9769
164	1558	9773
165	1571	9788
166	1584	9803
167	1593	9787
168	1608	9811
169	1621	9821
170	1630	9812
171	1640	9805
172	1648	9783
173	1656	9766
174	1662	9735
175	1668	9706
176	1675	9684
177	1687	9690
178	1694	9667
179	1701	9642
180	1709	9622
181	1714	9589
182	1723	9576
183	1729	9552
184	1736	9529
185	1743	9504
186	1750	9480
187	1756	9457
188	1764	9437
189	1770	9411
190	1777	9391
191	1786	9380
192	1796	9374
193	1803	9354
194	1811	9334
195	1818	9317
196	1825	9296
197	1833	9276
198	1840	9258
199	1846	9231
200	1854	9217
201	1861	9198
202	1869	9181
203	1879	9174
204	1891	9179
205	1900	9169
206	1910	9164
207	1922	9170
208	1931	9157
209	1941	9151
210	1948	9134
211	1959	9133
212	1972	9141
213	1980	9127
214	1994	9139
215	2004	9129
216	2014	9127
217	2022	9109
218	2031	9099
219	2039	9083
220	2045	9063
221	2052	9040
222	2059	9024
223	2066	9003
224	2074	8990
225	2084	8984
226	2094	8977
227	2104	8971
228	2116	8975
229	2129	8979
230	2140	8978
231	2144	8949
232	2156	8951
233	2166	8941
234	2173	8924
235	2179	8904
236	2192	8910
237	2201	8900
238	2213	8900
239	2222	8891
240	2233	8885
241	2244	8883
242	2257	8891
243	2272	8904
244	2281	8892
245	2294	8896
246	2303	8885
247	2310	8867
248	2318	8853
249	2329	8852
250	2341	8851
251	2350	8842
252	2358	8829
253	2369	8823
254	2376	8806
255	2384	8793
256	2392	8777
257	2402	8773
258	2409	8755
259	2417	8740
260	2424	8721
261	2434	8714
262	2441	8696
263	2447	8678
264	2454	8661
265	2463	8648
266	2472	8639
267	2478	8618
268	2484	8597
269	2491	8582
270	2498	8564
271	2504	8545
272	2511	8528
273	2522	8523
274	2529	8509
275	2536	8491
276	2543	8476
277	2551	8461
278	2558	8445
279	2565	8429
280	2572	8414
281	2579	8396
282	2586	8381
283	2592	8362
284	2599	8345
285	2611	8346
286	2622	8342
287	2630	8331
288	2643	8334
289	2659	8346
290	2673	8351
291	2681	8338
292	2692	8335
293	2703	8332
294	2714	8327
295	2721	8311
296	2729	8297
297	2737	8284
298	2745	8271
299	2752	8257
300	2762	8250
301	2768	8233
302	2775	8217
303	2782	8202
304	2789	8185
305	2797	8172
306	2805	8159
307	2812	8145
308	2820	8132
309	2827	8118
310	2835	8103
311	2842	8090
312	2850	8078
313	2860	8071
314	2868	8060
315	2874	8041
316	2881	8025
317	2888	8010
318	2895	7996
319	2902	7981
320	2910	7969
321	2918	7958
322	2925	7942
323	2931	7925
324	2937	7909
325	2945	7897
326	2952	7882
327	2960	7870
328	2967	7855
329	2974	7843
330	2985	7839
331	2995	7831
332	3002	7816
333	3013	7813
334	3023	7805
335	3033	7801
336	3041	7789
337	3055	7793
338	3070	7799
339	3080	7792
340	3090	7785
341	3099	7775
342	3106	7761
343	3113	7747
344	3120	7732
345	3127	7718
346	3133	7703
347	3142	7693
348	3153	7688
349	3165	7688
350	3174	7678
351	3183	7669
352	3191	7657
353	3200	7649
354	3208	7636
355	3215	7622
356	3221	7606
357	3230	7597
358	3236	7580
359	3244	7569
360	3251	7556
361	3259	7545
362	3268	7535
363	3277	7527
364	3284	7514
365	3292	7501
366	3302	7496
367	3309	7482
368	3317	7470
369	3325	7459
370	3332	7445
371	3339	7433
372	3348	7425
373	3355	7410
374	3368	7410
375	3376	7399
376	3386	7393
377	3399	7393
378	3409	7386
379	3423	7387
380	3437	7389
381	3449	7387
382	3458	7376
383	3466	7366
384	3473	7352
385	3482	7343
386	3489	7329
387	3498	7320
388	3506	7311
389	3514	7300
390	3522	7287
391	3528	7273
392	3537	7264
393	3546	7254
394	3553	7241
395	3561	7230
396	3568	7216
397	3574	7203
398	3581	7188
399	3591	7182
400	3598	7169
401	3606	7159
402	3613	7146
403	3619	7132
404	3626	7118
405	3636	7112
406	3640	7092
407	3646	7079
408	3651	7061
409	3658	7048
